text,label
wī pōdx̌ṓyā wī lax̌kár fúkaθ pa žinī́ž bēr binist,A
xu virṓ-ri mis yi čiz-aθ dal na virī́yi,B
az dī xu das(t)pōkkū́n tā kin,A
mānd mā́š-ri ɣ̌аn δēdṓw darkṓr,B
"Sēmúrγ yi pār xúyā safḗd dā́ čū́ǰ-at, yīw tōr",A
āz yīw tar dī xīz sām,B
lápaθ naxčī́r tar pux̆tā́,A
pōdx̌ṓ wī askarḗn qatī́,B
"dáδ-i xu virōdā́r čūǰ pirṓ xu, sáč-an tar daryṓ",A
yi dūs digḗr-an tō tṓyd-at...,B
"dáδ-an mānd tar ku čöd firḗpt, tarḗd-an mis vō uf sūr parčḗmt",A
pirṓ xúbaθ dim xīz ax̆ṓvǰ,B
"rūzo vudidi ik dī amīrzodayan δāw nawkaran vad. wāδan xubsūrat vad. yiw daδ az dīfr molat dinyoyi bisyor dākix̌t xu luvdi: az tāti tar dī sipoyā, dī x̌ār abozum. tu tar dī mulk sā xu ik dī sipoyā arrāng vāwd, dī ɣan qatī ҳambistar sa. ik kid ǰiwon daδ dī amīrzodā gāpi zox̌t xu tar di sipoyā tar dī wiloyat sut.",A
wī pid az nēw-dṓw-aθ kūr suǰ,B
dím-i az mun na avū́g,A
az mim maskā́ аг šitṓ x̌ас rabḗ,B
"min čōr са yōδd, az tā zēnt",A
čūg az xu az tör,B
"yā γaδā́ daδ tar um mis na fild xu, rawṓn sud",A
wāδ аr čöd az um nа lā́kan,B
ar wī čöd žöz nist,A
az wī́-at mis zöd,B
"mun mūy paδín-at, ā́z-ti tar tā xīz piδṓ sām",A
wī mōm dāδ аr kalwṓr kax̌t sipṓnt,B
ā́z-um azḗndēr i-číz-aθ nа zōx̌t,A
хu pōnd nа fā́mum,B
"ēу pōdx̆ōbačā́, tū k-az dim ar kuzā́ x̆ac mun pa-γḗm kin, sawṓb tā́-ri sawd!",A
Sēmúrγ azum zibíc xu tayc,B
yi čiz nivišö́ǰ tā́ǰō níst-ō?,A
dī́-yi az tā íčaθ na wī́nč-ō?,B
"šēr daδ xu nusk azum vū́g-at, šār azūd",A
"um kāl tar viǰ az tōq rī́d-at, um tanā́ — ar darū́n",B
āz az um xṓx̌-tör kī́bum x̌abḗӡ,A
tū k-az dim аr kuzā́ x̌ас mun pa-γḗm kin,B
yi γaδā́ yigṓn ūvdsōlā́-ri...,A
xu kāl az x̌ас sōnč,B
digár yič čiz nist dar-kṓr,A
yid sawṓl faqát ра kū́hi Qōf piδō sawd,B
at wī divö́r-tör mā sā,A
mun zindagī́ mis čiz darkṓr?,B
uf qūr sṓfaθ sifö́ǰ,A
dīg raδōn-tör ca-rang rabḗyan?,B
"yim yi virṓd xiyṓl-i čūǰ di, yid-ti az mun qīwd",A
"dim šā́r-ri ik-íd kōr lap qīn, číz-avān di, ar dim ɣū tō x̌ac indī́δd-at, pa-x̌ác daδ sawd",B
"ūvd pöδ az uf sifṓnt-at, vō xambṓnt",A
nur ca-rang тип рис mu-r salṓm na yat?,B
"az xu xabár sawd, daδ yā ɣāc az wī pāwst",A
"čiz zalū́l tā-r suǰ di, tarū́d-at yač?",B
ádli maδṓr az kōr indizum,A
уā yi-lāv ǰō suǰ,B
šandö́n (ж. šandā́n),A
vō wī pōθ rōstṓwaθ ik-ar um qūl δōd,B
"waxt di k-ar um dāxt darōmád kix̆t, čāst di...",A
ik-ā mūysafḗd-ti tā́-ri nix̆ṓn δēt,B
dāδ xawríč-an biyṓr yač vad,A
pas čēg раrā́-θ pōnd tayd,B
"tar ar taráf уа̄ са sut, yā x̌arpö́ǰ mis wī dā́m-tör ik-tar wī ǰōy sut",A
tē mún qatī́ иди со мной; yā dað azḗndēr fēzd,B
"уā tā́yā ca-rangín čōr, tū az wī x̌ōǰ ca δōr?",A
yid mún-iör ōšíq vud,B
"ōxir, yā awálaθ šār vud",A
az mún-at хu sū́r-indēr ǰāt nа čūg,B
"tamā́š bōr yi ilṓǰ kinát di, māš az mōwzī́ mā mirán",A
sifö́d wī tö́r-tör,B
раr mī tā rū́čka nivištṓw na bīft,A
"sa, dūsḗk tamōkú mu-r dāk",B
par хu γḗm-um az dim inǰū́vd,A
"ar tān ca virī́d mú-ri, bašā́nd kōčṓr wī́-ri dā́kum",B
"ádli xör maδṓr-at, yā yōδd",A
yā katadö́r puc wīyā gāx̆t tar xu pid,B
"saārī rux δodat x̌inӡum indawd, par dim yi ɣullā dīg xax̌pā tīwd, xomaboxtaθ as wī lāčūg xu luvd: a nabes, fur man az dī. yid gāx̌t tar x̌inӡum luvd: e mom azum tā xīz furdo x̌armindā, tu nax̌teyat az furum. x̌inӡum rozī sat. x̌inӡum nax̌toydat yid potx̌o razen az dī xax̌pā ar kalvor čūg xu, pa xu yaxӡon dāčūg pa dišād. ik dī tör cond tov as dim xax̌pā spondat, tayor čūg. yiw daw čeb ar dīg bun lāčug xu az x̌inӡumi qīwd, luvd: e nabes, az dīat čīzr lāčūg. luvd e mom, sīrum nasadat az dī δaw čebum tār lačug. x̌inӡum luvd: e nabes, tā mom ošdod, tā mom sīr az dī mis xubaθ tozā ki. potx̌o razen az dum dīg tozā čūgxu zinod. x̌inӡum gāx̌t tar potx̌o razen. luvd: a nabes, mandum as tā nabosdorīyum qabūl čūg. ammo yiw diger šart yast. yi baxbūstat par mim raδon garδā diger agar xūgat mu nabosat agar nā, xārum as tā. x̌inӡum luvd kaz dī xu baxbust vug xu kar dim ɣullā dīg wiδd. yid poxt par dim xu raδon diger garδā ɣak čūg xu poxt tayor čūg xu luvd: a nabos kaz dī diger xār. luvd: e mom, azum tā xīz x̌armindā, tu nax̌teyat az dī xārum. x̌inӡum az čud nax̌toydat potx̌o razen az dī gūx̌tat garδā fukaθ pā xu yaxӡon dāčūg. at az x̌inӡum qīwd. luvd: e mom, yed tayorum čūg, x̌inӡum ar čod indiδd. čox̌t fukaθ gūx̌tat garδā tayor luvd: ā nibos, mandat mu nabos.",A
nū́r-at tar kōr nа súǰ-ī?,B
dáδ-i az wī miyōná virṓd ra- mṓǰ,A
dif iǰrṓ čēg mú-ri ōsṓn,B
"ik-id ǰōnín as tā surōq kix̌t di, nā́li yak bōr wīntṓw γalimát",A
yi dā́xti sūxtā́-indēr lā čēgṓw ramṓd,B
"qissa anǰāvum dāδ dewenan fux̌ –drum tör potx̌o xīz fireptd: ay potx̌oyi olam, māš xonā inder das pālawon nix̌tūyǰd yakbor δedoi wī kaltak qatī čil dew zent. potx̌o to dif gāp x̌udat xuš sut. luvd: sawat zozaf az wī xu vāraf. dāδan xayol čūgd potx̌ot māšr yordam kix̌t. potx̌o vo az difaθ ramod. virodaran maǰbūr sat xo toydan. dim x̌āban rux čūgat sārakian xu malā xīz ǰām sat, kaz wī sar ӡul viroan xuyā maǰbūr čug xu luvdan: yakumat ӡul tu, duyumat šut tu, pa tāt yā nakix̌t. luvdat az wī xu daδan az wī zox̌t xu toydan. xay, yid dew larzā kix̌tat indīδd, čox̌č Yatīmak ɣal nosč nêxtör. yid sut salom wīr čug xu tazīm xu luvd: e pālavoni mašҳur, potx̌o tar xu xīz taklīf tā čūǰ. dew to das luvǰat, yā xu martabāyi baland ču xu pawst az dew, azu tar potx̌o xīz cond miθ pond. dew larzālarzā ǰawob δod: azūd tarum nimrūz pand mis nist. xay, das di vawd luvd, toydan.",A
uf vōrǰbṓn pūx̆ṓk-i panáwǰ,B
vṓ-yi уак bōr digḗr wīδd,A
úf-an az fúkaθ ayṓd,B
"ḗndēr tar pōdx̌ṓ xīz darák sawd di, tā razḗn-ǰō puc suǰ",A
yā pōdx̆ōbačā́ δōd tar um dōmán tar x̆ūδm,B
um arā́y kā́l-i šamšḗr qatī́ kīpč,A
bād wix̌ḗӡ cifč xu tūyǰ,B
tū́-at ca-rang sarōsīmā́?,A
az firēbbōzī́yi rūpc bōwár čūg,B
"ar čiz mōl, úmā ca vawd...",A
"wī mōm čöx̌t di, ik-dṓnd lap mōldōr yat di!",B
úf-an fuk dōnd bašā́nd x̆ōyd di!,A
az x̆inӡū́m wī тот zöǰ,B
Čandōn-šḗr bād arḗd digár ilṓǰ xu-ri na avū́g...,A
"pōtx̌ōbačā́ yi kabṓb zox̌t xu, bās čūg",B
um sārī́-at uf sū́r-an inǰū́vd,A
"xúyā awwál zinī́ xu, dímā-tör-at luv: ""vār, āz tā kā́l-tör x̌ac kinúm""",B
"mа, im tillṓ tā́-ri",A
"alqisā́, ūvd kol wī́yā zibṓnt-at, yā dēw mūg",B
k-az um xu can taydṓw-tör ar xu čöd awizṓn čūg,A
kū аг wiryā́-ri nawžis at dūs digḗr tēy,B
yā aɣ̌dár wēx̆cī́n,A
"tar xu zabṓ gax̌c di, yi sandū́q wī zabṓ vuǰ",B
xu dōmṓd-tör lax̌kár jām,A
mún-um az dl na žöwǰ vad,B
yā markā́b yōδd ádli miyōnaǰōyi х̌ас,A
"k-az wl infṓm zōx̌t, pa xu nān čöd sud",B
"cōnd Māmū́d az um markā́b azṓb ca kix̌t, yā na čēmt",A
хu šart mú-ri luv,B
"ik-dṓnd azṓb az tū kinúm idi, tū mirí",A
"mā́nd-ti sā́wum tar čöd, naṓl nṓδum, yā rūy δīd, um xōx̌ bād az pīnӡ sōl sawd yullā́",B
"tarumdö́r sawd di, yi yōš ǰuwṓn pa wī δīd",A
"āz tā́-ri dawōyī́ са virī́m, wī xēgṓw lap qīn",B
"šēr tō k-az wī um wāydṓw x̆úd-at, az x̆ōǰ zibúd",A
tar vigā́-ri-ti уā yōδd,B
"уā uf virṓd ɣ̌an ik-dṓnd xušrū́y idi, íčaθ dalī́l nist",A
"šēr arḗd di δōǰ, zamōnā́ gúx̆taθ čūg",B
mā́šā māš pōdx̆ṓ tā́-tör ōšíq,A
yid virixcī́n cīnī́ tā-r čiz bakṓr?,B
"dáδ-i kud yi lāv tamōx̆ṓ čūǰ xu, zibī́nt xu, wī dḗwā wī nōy žaqč",A
"wī pōdx̌ṓ puc az um ɣā́c-i wīnt xu, daδ sust sawd xu wōx̌t",B
"xilak ǰoy tūydat cond dax̌tat biyabon sar čug, yi ǰoyyatidi yi qẙl wīr dičor sut. ar um qẙl don lap x̌arpoǰ sifc yastd ar yakdigaran zarwin.",A
yi sōát digḗr-at ramb-a-ramb sud,B
"ya γaδā́ lap xafā́ sut, amṓ yi čiz luvdṓw-aθ-i na vār-δōǰ",A
az uf wilṓγ ра ilṓq dḗyan,B
az wī jul az um ɣalbīr kawö́ǰ (||bawōn)-indēr δar čūg,A
yim mis úm-tör ōšíq sud,B
"yā γaδā́ daδ xu vā́x̆-at δṓc-at abδö́st zōx̆t xu, tūyd",A
tamā́š bōr yi ilṓǰ kinā́t,B
ā́z-um δaw-aráy tōv wī čöd kinōrā́ gird δōd,A
"daδ vō yā Sēmúrγ gax̌t kix̌t xu, ar xu ǰōy firā́pan",B
az kā́-r- at piδṓ sic?,A
ā́z-um az tamā́š yi čízat talabṓn nist,B
az x̆armindagī́ na yōδd,A
"yi ðaw mīθ nöst tōqā́-aθ, ziq pay sid",B
yā ik-dṓnd fasṓn di!,A
wī mōmčöxt: ik-dṓnd lap mōldṓr yat di!,B
um x̆ā́b-an ar yi kampī́r čöd xu guzár čūg,A
dáδ-an tar xu cö́d-ri tōyd,B
wī virōdā́r az wī na wizṓnan,A
mún-um tā xušrūyī́ x̆ud,B
"yid tafā́wsk az хu parδā́ nax̌tḗzd di, yā parī́ vic",A
k-az wī dōnd naxčī́r tayṓr čūg,B
wī ɣaδā́ az um ǰawṓl nax̌tū́yd,A
az aywōnōt-parandā́ awqōtwōrī́ mú-ri piδṓ kin,B
"""ar-ciz qī́n-af az tā ca čūg, mu-r luv"", — wī luvd: ""nā, āz-um ba-rōhát vud""",A
"yi-čiz van-dö́ǰ tā́-jō yást-ō, az mim qōp ɣēm vḗndan",B
"āz sām, az pux̆tā́ naxčī́r xambṓnum",A
"ēy wurǰ, tā́-at baγáy mun ziryōtḗn xūg",B
tū́-at číz-ri az dī kalták ba sar dī birānū́ čūǰ?,A
ik-dī́-avān šēr az um x̌ōǰ δūg,B
"az čöd nax̌tḗn di, rōstī́-aθ úmdēr žöz xumb",A
úfā аr uf čöd i-číz-aθ nа vuǰ dōnd kambaγál wāδ vaǰ idi!,B
az uf xu wazīrḗn fúkaθ ра dōr ðēt,A
"az mī lā́kum-at, xúbaθ az mī pirṓ δī́yum",B
"yā γuladö́r puc tar xu pid gāx̌č, lúvǰ-i: „ē pid, mú-ri iǰōzát δāδ“",A
"ti, nūr tar tā čöd mēmṓn sā́wan",B
fúkaθ-an nūr tar lēks vad,A
āz па wizṓ-num čiz-ri-af az mun pa dōr δēd,B
markā́b yōδd áli miyōnáyi paryḗnd,A
"pōdx̌ōbačā́ k-az um mūy,",B
āz az um xṓx̆-tör kī́bum x̆abḗӡ,A
yā tō az mun wīnt-at — yō-bar-mardṓn,B
as xu dux̌-mán xalö́s-um sud,A
dūs di-ger tēy at yi mālā́ tā-r az pirṓ yōδd,B
ā́z-um az wī kawö́k čust čūg,A
az um tar mun xīz vār,B
"as kā́-r-at piδṓ sic, tar kā́-r-at rawṓn?",A
tū́-ti γal nа indíz-ī?,B
um čā γḗm-tör yi xušrū́y γāc nēcs,A
yā ɣ̌iník-i xu razḗn xu pa ma-ɣá čū́-at yat,B
az mī yṓwǰ-at lap xuč yēx̆č,A
"āz agar zōyā́ са sā́vum, tu bōr zōyā́ mā sa",B
ā́z wal az tamāš sūr kinúm,A
siwṓr mānd mun pār-tör sa,B
sic tar xu amsōyā́ čöd,A
"ōdám ramī́, az wī vā́ran azum",B
"tā́-at mis wī dastū́r kōr ca čūǰ, yi yṓraθ pa tā yi čiz luvdṓw na vā́r-δōǰ",A
yim daráxt ǰāld qad čū,B
yi xušrū́y γāc tā́xt-tör nēsc,A
"mānd indízaf, zā́naf az mun!",B
várθ-aθ сḗman wī́yā pakíd,A
"firā́pt tárum, tar mālā́ xīz",B
az dif mardúm gírd-aθ nōδ,A
indī́δd ar wī čod: yi xušrū́y γāc tal ar wī čöd nēsc; at yā γāc tar pōdx̆ōbačā́ gāx̆t,B
"í, tṓyd-an, di-ná",A
yid mis yi digḗr vṓrǰ-tör suč suwṓr,B
az mī xu bōzū́ gū́x̌t-tör gū́x̌t pakī́nt,A
k-az um mūz... xu ba-díl-i wīδd,B
"wiryā́-aθ yḗd-at, āz miryā́-aθ",A
yid γāc рау nēwd sad,B
yā γaδā́ lápaθ mōlḗn wī tar pirṓ-at yat,A
wī́-yi cōnd x̆árṓt arā́y sṓlac sār čūg!,B
"ar či-tān са virī́d mū́-ri, bašā́nd kōčṓr wī́-ri dā́kum",A
"ōzir mand аr čiz tā́-ri darkṓr, dā́kum tā-r",B
xúb-um tar xu čöd firḗpt,A
"уā tā́yā ca-rangín čōr, tū az wī x̆ōǰ, ca δōr?",B
az dī parδā́ át kin,A
yā γaδā́ tar sáyli nax̆tḗzd,B
wúrǰā ра bānd wi kö́l-aθ rīǰ,A
tū́-at čiz kōr yat?,B
ā́z-um az ta gāp bōwár čū,A
"šēr tō k-az dī um kōrindigī́ wī́nt-at, sṓfaθ dēwōnā́ sad",B
"tū bīst mīθ pōnd tḗyi xu, bā́d-ti yi kā az pirṓ yōδd",A
ozimūδ-ǰāt arayúm bōr pōθ wīδd,B
"wī рuс daδ хu ikōyát zōx̌t, ba ōxír firṓpt",A
"wī mōm daδ аr kalwṓr kax̌t sipṓnt хu, az wī ра xadṓrǰ ramī́d",B
k-ar dī bawṓn xōyímaš pūrg vawd,A
"pōdx̆ōbačā́-yi wál-ri fāmt idi, yim x̆arpö́ǰ nist",B
"čö́xt-i yidi, az qūl darū́n yi x̆arpö́ǰ nix̆tū́yd",A
aǰáb piδṓ-at nа sic!,B
"mun čö́d-af са paδíd, wī xōkištár-um ǰām čūg",A
yi luqmā́ garδā́ dī kúd-ri mis patá(w),B
"а pid, xu ā́li x̆ār ayṓs",A
maš nōm aǰáb yī́waθ nist,B
az dim istilṓw rūγán-adux yōδd,A
"zēdṓw-ti mānd, a-rang vawd, az mun zā́naf",B
wāδ čil dḗw-an binī́d,A
"az dif mardúm gírd-aθ nōδ xu, az dī γaδá ar miyōná rabḗ",B
dáδ-i wī yīw virṓd mis az xu ar x̆ac patáwǰ,A
dim šā́r-ri ik-íd kōr lap qīn,B
ā́z-um az xu dux̌mán xalṓs-um sad,A
tū dim pṓnd-at zōx̌t,B
wā́δ-an wī muslā́t qabū́l čūg,A
māδ x̌ā pālawōnḗn-an ра sōyā́ nāsč,B
tar māš xasxōnā́ yēd yak bōr!,A
wī kā́l-i pakíǰ,B
aδ dāδ δaw virṓd mis sā́wan tar bōzṓr,A
ik-id kōr lap qīn,B
úf-af mis qabū́l čūg,A
yā markā́b ū́ndēr nist,B
pōdx̌ṓ-at wī wazír tōqā́-aθ rásan,A
pa um darā́-an dōnd lap naxčī́r yast di!,B
"tū fā́mi yidi, mā́š-an γulā́ sat",A
"lap bašā́nd, pas wazī́rā wī ӡildḗr razērt tā́-ri δā́δum",B
ca-wáxt-ti az mun pōdx̌ṓ kináf?,A
"agar tū́-at tarum sawö́ǰ ca vuθč, mā́n-ri pigṓ-θ-at suǰ",B
"mīθín gā́rδd-at, ádli x̆ā́b-at, daráw köxtṓw kix̆t",A
"dāδan azed nix̌toyd di difā dif mūy sarat dif bon az garmi fukaθ rix̌č. yid dim čor mis yat xu luvdi azum nur amīrzodā meҳmon čūǰ, wīrum nematҳoi gunogun pöxčum. tamāš mis tarum sawat. bād az meҳmonī āz az tamāš ozod kinum. amo xu umr inder ik dī rang tör kori bad mākinaf. yi odam mis ik dī ǰināw fireb mākinat. dāδan mis luvd di digar māš to qiyomat –ac ik dī ǰinaw kor nakinan.",B
"tamā́š bṓr yi yilṓǰ kinát di, māš az mōwzī́ na mirán",A
baṓr fúkaθ fasṓn рūx̌ṓk paníӡan,B
"yid miθ vigā sadat dewenan ozir sad. yikid čöd bād vuδǰ duwozdā vrodarā. dāδ duwozdā virodār sar ɣullā sar pirodat, dāδ digaran di dām törat tar xu čodan nazdik sadat, ik dond sad metr digarat ik di sar ɣullā virodā pufpuf xoksor adux sut. bād sari qāran sat xu tīzan sat divör –an at čūg xu indīδdan.",A
хu virṓd murδā́ talā́b,B
wā́δ-an ǰām árum sad,A
az wī́-yan ar ǰawṓl δṓǰ,B
āz sar-pirṓ ра kamán sifā́num,A
"yid meθ luvd vigā sad, yid x̌āb ruxn sad. yid meθ luvd dušanbe, kāl aftā, kālzinêd. potx̌o razen luvd, xu kāl zinodat x̌inӡum luvd gāx̌t tar dim. luvd: a nabes mūr mis ar dī dalqan x̌ac kaš kin. potx̌o razen ar dalqān x̌ac čūg xu yoc pā wī paδid. yid dalqān luvd wurv δod biraqqast worvd. potx̌o razen az x̌inӡum luvd: a mom, x̌ac kaš sad, x̌inӡum tar kunǰ čo kalzinayoǰ. sad čo ɣemtor nāst xu az potx̌o razen luvd: a nabes x̌ac vār xu mun kāl tör kīn. potx̌o razen az dīm kaš x̌ac ayod xu ar x̌inzum kāl čūg. luvd: ay nabes, yam uč kaš. potx̌o razen vo luvd šito x̌aci zox̌t xu ar x̌inӡum kāl čūg. luvd: ay nabos yim šito. mitovat potx̌o razen dalqān qatêθ warvoǰaθ az dim x̌āc zox̌t xu vug xu ar x̌inӡum kāl čūg baylāθ luvd ay nabos yim uč kaš, mitovat dalqān qatīaθ ar um māɣz garδont. x̌inӡum ǰiraɣdat potx̌o razen dalqān mis um māɣz tör inǰūvd, x̌inӡum wex̌t xu mog. az dim x̌inӡum potx̌o razen kar wī čo patewd xu gūr čūg. at xu yaxӡon az dišād xambont xu ar čodan indiδd az dī čūdaf tozā zdūg, yid potx̌o razen wix̌ez zox̌t xu sat tar x̌inӡum –a tar um xazinā. xazinā wix̌id indīδd arum x̌inӡuma bandi az dī ozod čūg, indīδd ar yi diger xazinā ared murδā ar čīzaθ axsonat badat balo. az dī fukaθ tozā čūg. azed nax̌toyd xu gāx̌t tar dī bandī luvd: a vradār arčidom timāšr xuš vawd, kunderaθ niθtat ar čidomr navawd tar xu x̌āraf toyd, yid bandi fuk indawd xu tūyd tar xu x̌ārat ik dāδ potx̌o razenon luvd kar dī xonā –an nast.",B
"sud yi čöd di, yi kampī́r arum namṓz-ti kix̌t",A
"ēy wurǰ, tā́-at baγáy mun ziryōtḗn xug!",B
indī́δd ar wī um mālā́,A
"indī́δd arum хu, ǰōy az хu čūg",B
"ar-cōnd talḗpt-talḗpt, na avū́g",A
mānd sa tar ik-dī́ taráf,B
wī́-ri paryḗnd dučṓr sawd,A
"mī́θō vud di, šār tar ǰingā́l tamōšṓ sad",B
